name,rating,review_count,price,address,phone,yelp_url,price_num,rating_norm,review_norm,price_fit,score,rank
Musubi Cafe Iyasume,4.5,5400,$,"Pacific Monarch, Waikiki",N/A,https://www.yelp.com/biz/musubi-cafe-iyasume-honolulu-24?osq=japanese,1,0.5,0.844028567231785,1.0,0.7032,1
Marugame Udon,4.5,14100,$$,"Kuhio Banyan Hotel, Waikiki",N/A,https://www.yelp.com/biz/marugame-udon-honolulu-15?osq=japanese,2,0.5,1.0,0.7,0.69,2
Nori Bar - Waikiki,4.9,29,N/A,Waikiki,N/A,https://www.yelp.com/biz/nori-bar-waikiki-honolulu-2?osq=japanese,0,1.0,0.0,0.5,0.6,3
Tonkatsu Tamafuji,4.6,2400,$$$,"Hee Hing Plaza, Kaimuki",N/A,https://www.yelp.com/biz/tonkatsu-tamafuji-honolulu-9?osq=japanese,3,0.6249999999999994,0.7122676895558069,0.3,0.5862,4
Izakaya Tenkichi,4.6,241,$$,Mo'ili'ili,N/A,https://www.yelp.com/biz/izakaya-tenkichi-honolulu?osq=japanese,2,0.6249999999999994,0.33931529029867163,0.7,0.5543,5
Totoya,4.6,302,N/A,Kaimuki,N/A,https://www.yelp.com/biz/totoya-honolulu-2?osq=japanese,0,0.6249999999999994,0.3758506802524141,0.5,0.5253,6
ABURIYA IBUSHI,4.5,434,$$,Kaimuki,N/A,https://www.yelp.com/biz/aburiya-ibushi-honolulu?osq=japanese,2,0.5,0.4346227861499949,0.7,0.5204,7
I-NABA,4.4,797,$$,Honolulu,N/A,https://www.yelp.com/biz/i-naba-honolulu?osq=japanese,2,0.37500000000000056,0.533238409922423,0.7,0.4875,8
Akira Japanese Restaurant,4.5,338,N/A,eleven50 Building,N/A,https://www.yelp.com/biz/akira-japanese-restaurant-honolulu-2?osq=japanese,0,0.5,0.39409720799993314,0.5,0.4682,9
Little Plum,4.5,273,N/A,Manoa,N/A,https://www.yelp.com/biz/little-plum-honolulu?osq=japanese,0,0.5,0.359499646572496,0.5,0.4578,10
Ginza Bairin Tonkatsu & Yoshoku Bistro,4.3,4200,$$$,"Outrigger Regency on Beachwalk, Waikiki",N/A,https://www.yelp.com/biz/ginza-bairin-tonkatsu-and-yoshoku-bistro-honolulu-5?osq=japanese,3,0.25,0.8031916504082669,0.3,0.426,11
Zigu,4.4,875,$$$,Waikiki,N/A,https://www.yelp.com/biz/zigu-honolulu-2?osq=japanese,3,0.37500000000000056,0.5483953203870658,0.3,0.412,12
Minatoku Kitchen,4.4,88,$$,Mo'ili'ili,N/A,https://www.yelp.com/biz/minatoku-kitchen-honolulu-3?osq=japanese,2,0.37500000000000056,0.17673877735422905,0.7,0.3805,13
Teishoku,4.2,696,$$,"Kamehameha Shopping Center, Kalihi",N/A,https://www.yelp.com/biz/teishoku-honolulu?osq=japanese,2,0.12500000000000056,0.5112446660659602,0.7,0.3559,14
Izakaya Harumi,4.3,388,N/A,Waikiki,N/A,https://www.yelp.com/biz/izakaya-harumi-honolulu?osq=japanese,0,0.25,0.4164576220266437,0.5,0.3499,15
Yoshitsune Restaurant,4.3,801,$$$,"Park Shore Waikiki, Waikiki",N/A,https://www.yelp.com/biz/yoshitsune-honolulu?osq=japanese,3,0.25,0.5340510492865637,0.3,0.3452,16
Kaimuki Shokudo,4.2,439,$$,Kaimuki,N/A,https://www.yelp.com/biz/kaimuki-shokudo-honolulu-2?osq=japanese,2,0.12500000000000056,0.4364802639016482,0.7,0.3334,17
Rinka,4.1,636,$$,"Ae'o Tower, Kaka'ako",N/A,https://www.yelp.com/biz/rinka-honolulu-5?osq=japanese,2,0.0,0.4966146273335392,0.7,0.289,18
Marujuu,4.2,98,$$,Kaimuki,N/A,https://www.yelp.com/biz/marujuu-honolulu?osq=japanese,2,0.12500000000000056,0.1940452748600375,0.7,0.2607,19
